instance,edges,n_types,large_type,alpha,p_narrow,p_restricted,beta_normal,beta_narrow,beta_restricted,Q3,n_normal,n_narrow,n_restricted,beta_min,beta_max,seed
gdb10,25,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,19,5,1,0.81,6.7,4070773678
gdb11,45,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,37,7,1,0.8,5.84,2242126648
gdb12,23,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,16,6,1,0.8,5.11,481129090
gdb13,28,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,18,7,3,0.81,6.71,1806320148
gdb14,21,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,13,8,0,0.82,2.93,4123973559
gdb15,21,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,12,7,2,0.81,7.62,2194269985
gdb16,28,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,19,6,3,0.82,7.62,465614491
gdb17,28,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,21,4,3,0.8,6.95,1825015309
gdb18,36,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,22,12,2,0.81,5.81,4235762588
gdb19,11,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,8,2,1,0.81,6.43,2340399882
gdb1,22,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,13,9,0,0.81,3.0,3464396207
gdb20,22,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,17,4,1,0.8,5.87,3649978477
gdb21,33,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,25,8,0,0.8,2.96,2928242939
gdb22,44,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,28,13,3,0.82,8.0,931144001
gdb23,55,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,40,9,6,0.81,7.96,1082593751
gdb2,26,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,20,5,1,0.8,7.18,1467427861
gdb3,22,2,2,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,16,6,0,0.81,2.6,544218243
gdb4,19,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,14,2,3,0.82,7.34,3189016864
gdb5,26,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,19,6,1,0.8,5.57,3373513142
gdb6,22,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,11,9,2,0.8,6.07,1343940620
gdb7,22,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,17,4,1,0.81,5.28,656267418
gdb8,46,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,28,15,3,0.81,7.65,3080897803
gdb9,51,2,1,0.7,0.25,0.05,0.8-0.95,2.0-3.0,5.0-8.0,,36,12,3,0.8,7.12,3232101789
