instance,edges,n_types,large_type,alpha,p_narrow,p_restricted,beta_normal,beta_narrow,beta_restricted,Q3,n_normal,n_narrow,n_restricted,beta_min,beta_max,seed
egl10,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,70,23,5,0.8,4.28,2420687402
egl11,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,68,28,2,0.8,3.38,3880776380
egl12,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,68,24,6,0.8,4.63,2118558470
egl13,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,142,35,13,0.8,4.83,155292560
egl14,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,145,40,5,0.8,4.75,2535786035
egl15,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,132,50,8,0.8,5.0,3760338597
egl16,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,142,36,12,0.8,4.84,2032887583
egl17,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,140,41,9,0.8,4.99,237787017
egl18,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,134,46,10,0.8,4.93,2660452888
egl19,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,138,43,9,0.8,4.96,3918822030
egl1,98,2,2,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,76,19,3,0.8,4.6,4172424947
egl20,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,134,42,14,0.8,4.71,3143995881
egl21,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,134,47,9,0.8,4.83,3429015935
egl22,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,141,40,9,0.8,4.74,1433137349
egl23,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,141,36,13,0.8,4.89,577552467
egl24,190,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,133,43,14,0.8,4.63,3154662896
egl2,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,65,29,4,0.81,4.64,1639675721
egl3,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,85,12,1,0.8,4.82,381437919
egl4,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,63,30,5,0.8,4.7,2295911036
egl5,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,76,20,2,0.81,4.39,4292862698
egl6,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,65,27,6,0.8,4.64,1725346640
egl7,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,70,21,7,0.8,4.8,298943430
egl8,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,73,24,1,0.8,3.48,2171510359
egl9,98,2,1,0.5,0.25,0.05,0.8-0.95,1.5-2.5,3.0-5.0,,61,29,8,0.8,4.96,4134121153
