instance,edges,n_types,large_type,alpha,p_narrow,p_restricted,beta_normal,beta_narrow,beta_restricted,Q3,n_normal,n_narrow,n_restricted,beta_min,beta_max,seed
egl10,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,54,33,11,0.8,4.97,2420687402
egl11,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,50,42,6,0.8,4.98,3880776380
egl12,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,54,31,13,0.8,4.63,2118558470
egl13,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,114,54,22,0.8,4.91,155292560
egl14,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,114,64,12,0.8,4.96,2535786035
egl15,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,100,70,20,0.8,5.0,3760338597
egl16,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,112,56,22,0.8,4.84,2032887583
egl17,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,110,64,16,0.8,4.99,237787017
egl18,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,102,70,18,0.8,4.99,2660452888
egl19,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,106,67,17,0.8,4.96,3918822030
egl1,98,2,2,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,60,31,7,0.8,4.6,4172424947
egl20,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,107,63,20,0.8,4.71,3143995881
egl21,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,100,71,19,0.8,4.9,3429015935
egl22,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,106,67,17,0.8,4.74,1433137349
egl23,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,112,57,21,0.8,4.99,577552467
egl24,190,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,104,62,24,0.8,4.63,3154662896
egl2,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,54,34,10,0.81,4.84,1639675721
egl3,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,67,26,5,0.8,4.82,381437919
egl4,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,47,38,13,0.8,4.7,2295911036
egl5,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,58,35,5,0.81,4.7,4292862698
egl6,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,53,34,11,0.8,4.85,1725346640
egl7,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,51,38,9,0.8,4.8,298943430
egl8,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,61,32,5,0.8,4.64,2171510359
egl9,98,2,1,0.7,0.35,0.1,0.8-0.95,1.5-2.5,3.0-5.0,,45,42,11,0.8,4.96,4134121153
